num_atoms,num_res,load,process,run,total,pdbid
1039,124,0.030210256576538086,0.05665469169616699,0.03675436973571777,0.12361931800842285,2mqp
2291,290,0.03482317924499512,0.002864837646484375,0.0413060188293457,0.0789940357208252,5kx7
3525,441,0.05824017524719238,0.036000728607177734,0.06402873992919922,0.15826964378356934,6djd
5510,673,0.08052325248718262,0.06666207313537598,0.10197830200195312,0.24916362762451172,3fhn
4720,584,0.06839179992675781,0.1640763282775879,0.08635377883911133,0.31882190704345703,3tdl
1001,129,0.017826318740844727,0.17621874809265137,0.03634500503540039,0.23039007186889648,5k2s
6617,815,0.09606456756591797,0.0072956085205078125,0.12395143508911133,0.2273116111755371,3jux
607,75,0.011753082275390625,0.2674880027770996,0.03617548942565918,0.3154165744781494,4hk2
2422,324,0.04174375534057617,0.0030014514923095703,0.04364013671875,0.08838534355163574,5ts9
2798,356,0.050219058990478516,0.04895925521850586,0.0505218505859375,0.14970016479492188,4b5n
4404,504,0.06440854072570801,0.0514681339263916,0.08112668991088867,0.19700336456298828,3qjl
989,131,0.01666092872619629,0.0017943382263183594,0.0365910530090332,0.05504631996154785,2vxp
3070,355,0.04767751693725586,0.003749847412109375,0.05535578727722168,0.10678315162658691,1m8w
2464,306,0.0395655632019043,0.0853736400604248,0.04437828063964844,0.16931748390197754,6pha
3819,508,0.07097411155700684,0.03055095672607422,0.06948566436767578,0.17101073265075684,5z1x
7208,960,0.12336111068725586,0.03795170783996582,0.13680291175842285,0.29811573028564453,4exk
839,104,0.014067411422729492,0.09197282791137695,0.03647971153259277,0.14251995086669922,4c7n
2408,289,0.035310983657836914,0.0030007362365722656,0.043410539627075195,0.08172225952148438,4bbe
852,100,0.014719486236572266,0.08166956901550293,0.03643035888671875,0.13281941413879395,2zxj
1405,181,0.02197408676147461,0.0019826889038085938,0.03631114959716797,0.06026792526245117,4jet
5048,667,0.08298754692077637,0.005645751953125,0.09274983406066895,0.1813831329345703,3lst
4481,556,0.07224345207214355,0.14068150520324707,0.08284783363342285,0.2957727909088135,1oiu
7900,994,0.11543154716491699,0.07537961006164551,0.15045762062072754,0.34126877784729004,1bwf
294,36,0.008648157119750977,0.3308596611022949,0.03610038757324219,0.3756082057952881,3trv
1085,124,0.01875591278076172,0.0016543865203857422,0.03619718551635742,0.05660748481750488,2erb
2176,258,0.03165435791015625,0.002701997756958008,0.03905773162841797,0.07341408729553223,5cj7
2750,345,0.05076718330383301,0.0381159782409668,0.049616336822509766,0.13849949836730957,6d2x
924,115,0.02642965316772461,0.08444404602050781,0.036743879318237305,0.14761757850646973,6c8u
1802,240,0.03705739974975586,0.0024051666259765625,0.036359548568725586,0.07582211494445801,4f9t
2991,387,0.044025421142578125,0.027600526809692383,0.053994178771972656,0.12562012672424316,5ioz
569,70,0.018253803253173828,0.10213756561279297,0.03632330894470215,0.15671467781066895,3t48
4252,549,0.06837224960327148,0.004954099655151367,0.07774019241333008,0.15106654167175293,4bc1
4077,538,0.06735014915466309,0.005002737045288086,0.07403039932250977,0.14638328552246094,3v48
2222,310,0.03345155715942383,0.0029802322387695312,0.04010295867919922,0.07653474807739258,1fun
3895,502,0.07980847358703613,0.012457132339477539,0.07090616226196289,0.16317176818847656,5x20
7347,901,0.10923099517822266,0.055291175842285156,0.13942551612854004,0.30394768714904785,6lbt
3370,446,0.048468828201293945,0.2665574550628662,0.061225175857543945,0.3762514591217041,6mqm
2863,350,0.04196000099182129,0.09635210037231445,0.05160951614379883,0.18992161750793457,5tvs
1598,224,0.02993178367614746,0.08590221405029297,0.03635001182556152,0.15218400955200195,3ec0
5845,768,0.0863490104675293,0.0067653656005859375,0.10872411727905273,0.20183849334716797,5i9q
1321,140,0.019489765167236328,0.22570538520812988,0.036376237869262695,0.2815713882446289,1e7k
2304,299,0.06983041763305664,0.002936124801635742,0.041471004486083984,0.11423754692077637,4p3z
6048,783,0.10317301750183105,0.006707906723022461,0.11307644844055176,0.22295737266540527,3dzz
5040,676,0.07902240753173828,0.17882418632507324,0.09276676177978516,0.3506133556365967,4fr1
2824,357,0.04836106300354004,0.1627335548400879,0.05100703239440918,0.2621016502380371,2f4i
2668,360,0.044671058654785156,0.07071375846862793,0.04790949821472168,0.16329431533813477,3qua
3241,413,0.0508730411529541,0.05879044532775879,0.058594465255737305,0.1682579517364502,3ii0
3513,421,0.06089973449707031,0.07232904434204102,0.06375670433044434,0.19698548316955566,3igl
3224,404,0.0690622329711914,0.0753026008605957,0.05819392204284668,0.2025587558746338,6hqy
4603,587,0.07181406021118164,0.061688899993896484,0.08448052406311035,0.21798348426818848,1qxd
3043,378,0.04406571388244629,0.1476142406463623,0.054857730865478516,0.2465376853942871,5gns
5675,728,0.08533835411071777,0.04174494743347168,0.10509848594665527,0.23218178749084473,5f55
6593,876,0.10580182075500488,0.13656282424926758,0.12431597709655762,0.3666806221008301,2pu0
800,110,0.0153961181640625,0.26436901092529297,0.03624367713928223,0.3160088062286377,6egp
2060,255,0.032471418380737305,0.002770662307739258,0.03747987747192383,0.07272195816040039,3e66
1051,140,0.016185998916625977,0.06659531593322754,0.03645801544189453,0.11923933029174805,1fil
1135,165,0.037606239318847656,0.0017018318176269531,0.036495208740234375,0.07580327987670898,6s09
